New_name,Old_name,Source_dir,Exact,Dest_dir,
NA,0074,NA,N,NA,
NA,0079,NA,N,NA,
NA,0093,NA,N,NA,
NA,0125,NA,N,NA,
NA,0180,NA,N,NA,
NA,0197,NA,N,NA,
NA,0218,NA,N,NA,
NA,0239,NA,N,NA,
NA,0272,NA,N,NA,
NA,0424,NA,N,NA,
NA,0443,NA,N,NA,
NA,0481,NA,N,NA,
NA,0485,NA,N,NA,
NA,0488,NA,N,NA,
NA,0489,NA,N,NA,
NA,0517,NA,N,NA,
NA,0519,NA,N,NA,
NA,0520,NA,N,NA,
NA,0524,NA,N,NA,
NA,0532,NA,N,NA,
NA,0570,NA,N,NA,
NA,0574,NA,N,NA,
NA,0587,NA,N,NA,
NA,0597,NA,N,NA,
NA,0617,NA,N,NA,
NA,0642,NA,N,NA,
NA,0809,NA,N,NA,
NA,0840,NA,N,NA,
NA,0848,NA,N,NA,
NA,0853,NA,N,NA,
NA,0855,NA,N,NA,
NA,0906,NA,N,NA,
NA,0924,NA,N,NA,
NA,0931,NA,N,NA,
NA,0932,NA,N,NA,
NA,0933,NA,N,NA,
NA,0935,NA,N,NA,
NA,0957,NA,N,NA,
NA,0967,NA,N,NA,
NA,0977,NA,N,NA,
NA,0989,NA,N,NA,
NA,0996,NA,N,NA,
NA,1028,NA,N,NA,
NA,1036,NA,N,NA,
NA,1042,NA,N,NA,
NA,1057,NA,N,NA,
NA,1062,NA,N,NA,
NA,1066,NA,N,NA,
NA,438,NA,N,NA,
NA,445,NA,N,NA,
NA,447,NA,N,NA,
NA,448,NA,N,NA,
NA,453,NA,N,NA,
NA,456,NA,N,NA,
NA,458,NA,N,NA,
NA,466,NA,N,NA,
NA,471,NA,N,NA,
NA,482,NA,N,NA,
NA,491,NA,N,NA,
NA,492,NA,N,NA,
NA,498,NA,N,NA,
NA,499,NA,N,NA,
NA,509,NA,N,NA,
NA,513,NA,N,NA,
NA,528,NA,N,NA,
NA,531,NA,N,NA,
NA,596,NA,N,NA,
NA,598,NA,N,NA,
NA,605,NA,N,NA,
NA,609,NA,N,NA,
NA,618,NA,N,NA,
NA,620,NA,N,NA,
NA,636,NA,N,NA,
NA,641,NA,N,NA,
NA,646,NA,N,NA,
NA,655,NA,N,NA,
NA,669,NA,N,NA,
NA,704,NA,N,NA,
NA,708,NA,N,NA,
NA,713,NA,N,NA,
NA,716,NA,N,NA,
NA,726,NA,N,NA,
NA,761,NA,N,NA,
NA,767,NA,N,NA,
NA,773,NA,N,NA,
NA,776,NA,N,NA,
NA,782,NA,N,NA,
NA,784,NA,N,NA,
NA,817,NA,N,NA,
NA,818,NA,N,NA,
NA,860,NA,N,NA,
NA,866,NA,N,NA,
NA,889,NA,N,NA,
NA,890,NA,N,NA,
NA,891,NA,N,NA,
NA,894,NA,N,NA,
NA,915,NA,N,NA,
NA,919,NA,N,NA,
NA,924,NA,N,NA,
NA,936,NA,N,NA,
NA,938,NA,N,NA,
NA,944,NA,N,NA,
NA,952,NA,N,NA,
NA,953,NA,N,NA,
NA,954,NA,N,NA,
NA,966,NA,N,NA,
NA,981,NA,N,NA,
NA,983,NA,N,NA,
NA,988,NA,N,NA,
NA,989,NA,N,NA,
NA,992,NA,N,NA,
NA,997,NA,N,NA,
NA,998,NA,N,NA,
NA,1020,NA,N,NA,
NA,1021,NA,N,NA,
NA,1026,NA,N,NA,
NA,1027,NA,N,NA,
NA,1058,NA,N,NA,
NA,1084,NA,N,NA,
